Start, pb version:  ('primehub', '3.5.0', 'v1.20.0-23-g6c633a8dd on 2024-04-11')
yaw_angle=  -0.0 heading_angle=  0.0
yaw_angle=  -0.0 heading_angle=  0.0
yaw_angle=  -0.0 heading_angle=  0.0
yaw_angle=  -0.0 heading_angle=  0.0
yaw_angle=  0.0 heading_angle=  360.0
yaw_angle=  -0.0 heading_angle=  0.0
yaw_angle=  -0.3 heading_angle=  0.3
yaw_angle=  -0.8 heading_angle=  0.8
yaw_angle=  -0.8 heading_angle=  0.8
yaw_angle=  -0.9 heading_angle=  0.9
yaw_angle=  -0.8 heading_angle=  0.8
yaw_angle=  -0.6 heading_angle=  0.6
yaw_angle=  -0.6 heading_angle=  0.6
yaw_angle=  -0.5 heading_angle=  0.5
yaw_angle=  -0.6 heading_angle=  0.6
yaw_angle=  -0.5 heading_angle=  0.5
yaw_angle=  -0.6 heading_angle=  0.6
yaw_angle=  -0.7 heading_angle=  0.7
yaw_angle=  -0.6 heading_angle=  0.6
yaw_angle=  -0.6 heading_angle=  0.6
yaw_angle=  -0.4 heading_angle=  0.4
yaw_angle=  -0.1 heading_angle=  0.1
yaw_angle=  0.1 heading_angle=  359.9
yaw_angle=  0.0 heading_angle=  360.0
yaw_angle=  0.0 heading_angle=  360.0
yaw_angle=  -0.0 heading_angle=  0.0
yaw_angle=  -0.1 heading_angle=  0.1
yaw_angle=  -0.1 heading_angle=  0.1
yaw_angle=  -0.1 heading_angle=  0.1
yaw_angle=  -0.2 heading_angle=  0.2
yaw_angle=  -0.2 heading_angle=  0.2
yaw_angle=  -0.3 heading_angle=  0.3
yaw_angle=  -0.2 heading_angle=  0.2
yaw_angle=  -0.2 heading_angle=  0.2
yaw_angle=  -0.1 heading_angle=  0.1
yaw_angle=  -0.1 heading_angle=  0.1
yaw_angle=  -0.2 heading_angle=  0.2
yaw_angle=  0.0 heading_angle=  360.0
yaw_angle=  0.4 heading_angle=  359.6
yaw_angle=  0.8 heading_angle=  359.2
yaw_angle=  0.7 heading_angle=  359.3
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.7 heading_angle=  359.3
yaw_angle=  0.7 heading_angle=  359.3
yaw_angle=  0.7 heading_angle=  359.3
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.7 heading_angle=  359.3
yaw_angle=  0.7 heading_angle=  359.3
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.8 heading_angle=  359.2
yaw_angle=  0.6 heading_angle=  359.4
yaw_angle=  0.5 heading_angle=  359.5
yaw_angle=  0.5 heading_angle=  359.5
yaw_angle=  0.5 heading_angle=  359.5
yaw_angle=  1.1 heading_angle=  358.9
